scenario,category,testName,userPrompt,Assert1,Assert2,Assert3,Assert4,Assert5,Assert6,Assert7,Assert8,Assert9,tags,relativeFilePathFromEvals
na,type2,Edit text in selected section,Update the text to be about sustainability,Page should contain exactly 1 Text web part,Text web part content should match expected pattern,,,,,,,,SharePointPage canvas,canvas/canvas-type-2-tests.json
na,type2,Edit text on populated page,Update the text to be about innovation,Page should contain exactly 3 Text web part(s),Text web part content should contain 'innovation' somewhere,,,,,,,,SharePointPage canvas,canvas/canvas-type-2-tests.json
na,core,Delete last web part from page with three RTE web parts,Delete last web part on the page.,Should find exactly 2 matching elements,Content at first position should contain 'First Web Part',Content at second position should contain 'Second Web Part',,,,,,,SharePointPage webpart delete,canvas/delete-webpart-core-tests.json
na,core,Delete last web part from page with mixed web parts,Delete last web part on the page.,Should find exactly 2 matching elements,web part at first position should be Text web part,web part at second position should be Image web part,,,,,,,SharePointPage webpart delete,canvas/delete-webpart-core-tests.json
na,core,Validate replacing a word works correctly,Replace all 'SharePoint' occurrences with 'Classic Portal',Page should contain exactly 4 Text web part(s),Should find exactly 1 matching element,Should find exactly 1 matching element,Should find exactly 1 matching element,Should not find any matching elements,,,,,SharePointPage validate,core/page-validation-core-tests.json
na,core,Validate no validation errors on empty SharePoint page,Hi,Should find exactly 1 matching element,Page should contain exactly 1 Banner web part,,,,,,,,SharePointPage pr validate,core/page-validation-pr-tests.json
na,core,Validate no page modification on non-vibe authoring user prompt,What is special about today?,Should find exactly 5 matching elements,,,,,,,,,SharePointPage pr validate,core/page-validation-pr-tests.json
na,core,Validate user prompt to update page title,Change top banner title to 'Classic Portal Migration to Modern Portal',Page should contain exactly 1 Banner web part,,,,,,,,,SharePointPage pr validate,core/page-validation-pr-tests.json
executivePage,type3,Create internal publishing standards document,"Write a publishing standards document for Contoso's Global Communications team that defines expectations for internal articles and announcements shared on our corporate intranet. Target audience includes content creators across all business units (Engineering, Sales, HR, and Finance). Include voice and tone guidelines aligned with our 'clear, inclusive, and action-oriented' brand principles, structural and formatting expectations for news articles versus policy updates, review and approval responsibilities involving department leads and Legal, and ownership and content lifecycle management with 12-month archival policies. Design for consistency across 15,000+ employees in 8 regions.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 3 or more headings, 'standard' or 'guideline' or 'expectation', 'voice' or 'tone' or 'format'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/editorial-governance-tests.json
executivePage,type3,Create lessons learned from large-scale initiative,"Draft a lessons-learned article for Alpine Ski House's Operations & Technology division reflecting on our recently completed 14-month Resort Management System modernization that replaced legacy reservation, lift ticketing, and ski school scheduling systems across our 8 mountain resorts. Target audience is senior leadership and program managers planning future multi-property technology rollouts. Discuss what worked well (phased rollout starting with smaller resorts, dedicated super-user training at each property, vendor on-site support during peak season), what caused friction or delays (integrating with third-party lodging partners, resistance from long-tenured lift operators, data migration complexity from 15-year-old systems), trade-offs made between feature completeness and hitting the ski season deadline, and recommendations for future large-scale initiatives (earlier change management engagement, realistic buffer for peak-season freeze periods). Focus on actionable insights for the upcoming F&B and Retail POS consolidation project, not success storytelling.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 3 or more headings, 'lesson' or 'learn' or 'initiative', 'work' or 'challeng' or 'recommend'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/editorial-governance-tests.json
executivePage,type3,Create executive AI strategy and employee expectations announcement,"Write a SharePoint News post from Jeff Teper, President of the Collaborative Apps and Platform organization. Target audience is 4,500 employees across OneDrive and SharePoint, Teams, and Viva. Purpose: Announce a major AI trend and explain how it influences our product strategy, engineering priorities, and long-term vision. Highlight why this shift matters for Microsoft, our customers, and our competitive position. Tone should be visionary, clear, optimistic, and grounded in practical execution. Avoid hype and emphasize customer trust, responsible AI, and business impact. Include what the new AI trend is and why it matters now, how it shapes CAP strategic focus areas, expectations for teams as we adapt (speed, quality, customer obsession, responsible AI), a positive encouraging message that AI skills will increasingly influence impact and career growth, concrete next steps employees can start doing today, and close with an inspiring forward-looking message about building the future together.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 3 or more headings, 'strategy' or 'vision' or 'direction', 'skill' or 'learn' or 'grow', 'expect' or 'adapt' or 'change', 'customer' or 'trust' or 'responsible', 'team' or 'together' or 'future'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/engineering-technology-operations-tests.json
executivePage,type3,Create API design standards reference document,"Write a technical reference document for Northwind Traders' Platform Engineering team defining API design standards expected across our 12 product teams building microservices on our Azure-based commerce platform. Target audience is backend engineers (L3-L5) and tech leads. Include core design principles aligned with our 'API-first, contract-driven' philosophy, versioning and backward compatibility guidelines for our B2B partner integrations, error handling following RFC 7807 and observability expectations using OpenTelemetry, and rationale behind each standard. Reference our existing Order Management and Inventory APIs as examples. The document should be opinionated, practical, and suitable as a long-term reference for 200+ engineers.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 3 or more headings, 'API' or 'design' or 'standard', 'version' or 'error' or 'principle'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/engineering-technology-operations-tests.json
executivePage,type3,Create post-incident review for service outage,"Write a blameless post-incident review for Relecloud's Streaming Platform team addressing the 4.5-hour outage that occurred last week that impacted 45,000 concurrent viewers during a major live sports event across EMEA and APAC regions. The outage was caused by a failed Kubernetes ConfigMap update during routine certificate rotation. Target audience includes Engineering VPs, SRE leadership, and partner teams (CDN, Video Encoding). Include an executive summary with business impact ($280K estimated advertising revenue loss, 12% subscriber churn spike), timeline of events from 02:15 UTC to 06:45 UTC, root cause analysis pointing to missing validation in our GitOps pipeline, immediate remediation steps taken, and preventive actions with owners from Platform and DevOps teams. Focus on systems, process improvements, and learning.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 3 or more headings, 'incident' or 'outage' or 'service'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/engineering-technology-operations-tests.json
